Id,Name,Designator,Footprint,Quantity,Mfr. Part #,Supplier,Classification,Supplier Part #,Price,Total $ USD
1,DBR72410,K1,DBT70510U,1,DBR72410,Mouser,External,285-DBR72410,$56.60,$56.60
2,TE 5W Resistor,"R14,R13",3550_Resistor_TE,2,355015KFT,Mouser,External,279-355015KFT,$1.80,$3.60
4,470R 35W Bourns Power Resistor,"R11,R9,R10,R6,R5,R1,R7,R12,R2,R4,R3,R8",TO-263-2,12,PWR263S-35-2500JE,Mouser,External,652-PWR263S352500JE,$3.02,$36.24
3,Molex Micro-Fit 2x1 THT,"J3,J2,J1",Molex_Micro-Fit_3.0_43045-0200_2x01_P3.00mm_Horizontal,3,,,External,,,$0.00
